"simulation","cetacean_area","non_cetacean_area","overlap_area","area_ratio"
120,179.47063019898,424.446965495539,92.036375029736,0.422834051810099
121,266.21057082694,1180.96651827552,169.408689296924,0.225417542925491
122,1079.62580838865,1289.55340448965,872.370896722924,0.837209071473795
123,489.177949095513,691.067176752514,326.225919361973,0.707858751726966
124,245.33415405159,935.901986665277,86.1714507293511,0.26213658860341
125,148.622472530023,667.746507969165,131.81633775689,0.222573193204757
126,278.382001297705,718.015552722049,224.618679961512,0.387710266500967
127,426.177065561057,1034.13442323689,46.4601600268993,0.412109930764227
128,231.191880767942,478.489840269979,51.1390761831216,0.483169884312478
129,356.82092005239,372.879838253359,159.425683846713,0.95693272589853
130,159.352663488475,661.399099634264,159.352663488475,0.240932688866061
131,193.243893834753,456.12608558424,156.926438236032,0.423663324554727
132,285.988464555363,658.169888761428,208.005169310231,0.434520736118069
133,286.231046758689,593.379492575288,142.750851094179,0.482374349535466
134,109.352708487123,771.19151560971,109.352708487123,0.141797084477347
135,567.479186713686,858.196467200717,411.768685750713,0.661246239529163
136,332.543586431885,760.485970989604,186.446893653439,0.43727773965265
137,181.859706783074,462.299786461211,137.825318749463,0.393380468927239
138,355.394340472659,634.827385789128,313.563227103164,0.559828306762291
139,244.106076650412,605.167770457493,240.660712274849,0.403369261495658
140,128.281766589106,784.759287146582,128.281766589106,0.163466388598654
141,282.085189581855,633.428466813769,191.762844776099,0.445330774287397
142,292.93153140037,575.955428056768,232.023763986626,0.5086010429465
143,506.448145900494,1071.80438243528,443.208856893257,0.472519196786431
144,213.006954280982,447.697534833581,188.130619140658,0.47578317437053
145,279.535927865446,423.053161572038,199.500590128883,0.660758394587359
146,251.683132286945,700.785122813181,238.74720330576,0.359144513908353
147,125.004133603231,616.976412446357,125.004133603231,0.202607637960713
148,410.287746606571,598.985979706512,371.922945421287,0.684970534381458
149,156.135606952353,747.66740394277,156.135606952353,0.208830298243555
150,208.882341922181,631.517819938932,208.882341922181,0.330762387579783
151,193.557760732234,399.804254417661,0,0.484131318247633
152,376.003142140696,618.624568537037,250.579418336443,0.607805058615587
153,300.082623529414,902.190137733193,126.301930324359,0.332615721430285
154,354.295464482338,603.088114053852,334.108182573254,0.587468822923446
155,509.117516099142,1108.95855371372,296.289274519846,0.459095170323714
156,350.649730887544,794.295682466636,323.915069513285,0.441459948263376
157,182.019691320669,479.978022646432,156.991751440055,0.379225053507816
158,278.44063145161,822.719877454522,141.575422973323,0.338439168764342
159,502.447578492928,667.334336463448,198.607410030733,0.752917317510828
160,173.489464735722,493.366982563167,124.766219104389,0.351643849035864
161,81.4021224183545,366.384888158459,54.6232534876413,0.222176528151862
162,81.835654187416,535.690087766976,81.8356541874159,0.152766788216201
163,438.351532862079,595.571092367343,179.341672783974,0.736018820389133
164,346.717649240362,419.643966794024,105.170565746345,0.826218596419242
165,397.728576363343,508.635736713899,231.239769748169,0.781951694807988
166,252.821283613653,684.167688960899,232.239602812331,0.369531165667342
167,206.105084065219,488.454250182649,40.6143532937398,0.421953712119712
168,336.728257984547,652.082899131755,247.760676785671,0.516388726698552
169,262.333056472499,833.045469751629,262.333056472499,0.314908448575698
170,456.632581320125,513.264759860033,162.990388702763,0.889662834917106
171,152.698212960985,453.071450183249,152.698212960985,0.337028989355265
172,203.677766820542,494.861904761677,175.738844140314,0.41158506011618
173,624.097226457158,757.303105768686,492.353832650952,0.824104934606971
174,346.036643592339,725.438260900899,161.419406201937,0.477003574587597
175,147.995295667337,443.483945743937,47.041510485709,0.333710604606165
176,330.426374708874,872.451945066394,330.426374708874,0.378733036905234
177,343.799560667431,567.923563942958,248.9769146077,0.605362380600151
178,630.573912589639,940.291513422027,575.106799027187,0.670615339592691
179,219.412510150365,541.360551982776,209.50833711327,0.405298297681183
180,368.65560076124,1205.64862959112,345.196662269877,0.305773665488481
181,440.728136049648,370.136706518746,160.164568724261,1.19071718175384
182,367.46253088992,493.492465583366,201.336973119292,0.744616294101951
183,262.769841536725,572.058462023175,262.769841536725,0.459340887306164
184,357.502507243653,708.423714139195,242.482738846177,0.504645031085745
185,532.29298449551,875.64464214481,360.845364694395,0.607886988483945
